No.,Time,Delta,Source,Destination,Protocol,Length,Data Length,Source Port,Destination Port,Data,Info
971557,38105.73,0,::208:8:8:8,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
971559,38105.83,0.1,::208:8:8:8,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
971561,38105.86,0.03,::208:8:8:8,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
971563,38105.93,0.07,::208:8:8:8,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
971568,38106.06,0.13,::208:8:8:8,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
971572,38106.16,0.1,::208:8:8:8,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
971578,38106.28,0.12,::208:8:8:8,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
971583,38106.44,0.16,::208:8:8:8,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
971592,38106.94,0.5,::201:1:1:1,::208:8:8:8,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
971594,38106.96,0.02,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
971598,38107.07,0.11,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
971601,38107.1,0.03,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
971603,38107.26,0.16,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
971605,38107.27,0.01,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
971609,38107.35,0.08,::201:1:1:1,::208:8:8:8,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
971611,38107.4,0.05,::201:1:1:1,::208:8:8:8,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
971615,38107.83,0.43,::206:6:6:6,::201:1:1:1,UDP,42,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
971617,38108.06,0.23,::201:1:1:1,::206:6:6:6,UDP,107,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
971624,38109.42,1.36,::205:5:5:5,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
971626,38109.52,0.1,::205:5:5:5,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
971628,38109.56,0.04,::205:5:5:5,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
971630,38109.7,0.14,::205:5:5:5,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
971632,38109.93,0.23,::201:1:1:1,::205:5:5:5,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
971635,38109.94,0.01,::201:1:1:1,::205:5:5:5,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
971640,38110.03,0.09,::201:1:1:1,::205:5:5:5,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
971647,38110.15,0.12,::201:1:1:1,::205:5:5:5,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
971649,38110.24,0.09,::238:38:38:38,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
971651,38110.29,0.05,::238:38:38:38,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
971659,38110.4,0.11,::238:38:38:38,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
971661,38110.41,0.01,::238:38:38:38,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
971663,38110.42,0.01,::238:38:38:38,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
